orig.order,quad1,quad,time,dates,ini.date,fin.date,elap.yr,site,coral,ID,Coral,ini.area,ini.perim,ini.feret,ini.notes,Coral,fin.area,fin.perim,fin.feret,fin.notes,tran
104,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,45,B45,45,0.693,3.075,1.069,,45,0.007,1.124,0.544,nv,B
105,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,46,B46,46,0.016,0.818,0.391,nv,46,0.007,1.124,0.544,nv,B
106,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,47,B47,47,0.001,0.996,0.498,nv,47,0.007,1.124,0.544,nv,B
107,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,48,B48,48,0.006,0.637,0.331,nv,48,0.007,1.124,0.544,nv,B
108,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,49,B49,49,0.144,1.375,0.474,,49,0.246,1.81,0.621,,B
109,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,50,B50,50,0.007,0.633,0.309,nv,50,0.205,1.652,0.553,,B
110,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,51,B51,51,0.131,1.311,0.467,,51,0.279,1.929,0.652,,B
111,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,52,B52,52,0.005,1.203,0.619,nv,52,0.208,1.672,0.573,,B
112,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,53,B53,53,0.004,1.889,0.944,nv,53,0.065,0.943,0.329,,B
113,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,54,B54,54,0.057,0.868,0.303,fuzzy,54,0.088,1.097,0.382,,B
114,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,55,B55,55,0.734,3.162,1.091,fuzzy,55,0.651,2.992,1.024,,B
115,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,56,B56,56,0.002,1.174,0.587,nv,56,0.148,1.418,0.462,,B
116,B2_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,57,B57,57,0.017,1.167,0.597,nv,57,0.165,1.48,0.491,,B
117,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,1,B1,1,0.237,1.765,0.598,,1,0.634,2.931,1.031,,B
118,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,2,B2,2,0.003,0.538,0.267,gone,2,0.001,0.725,0.362,gone,B
119,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,3,B3,3,0.006,1.33,0.664,angle,3,0.721,3.105,1.057,angle,B
120,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,4,B4,4,0.014,1.335,0.666,angle,4,1.409,4.384,1.577,angle,B
121,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,5,B5,5,0.004,0.702,0.349,fuzzy,5,0.453,2.495,0.905,nv,B
122,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,6,B6,6,0.611,2.897,0.958,,6,0.731,3.11,1.021,,B
123,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,7,B7,7,0,0.466,0.232,nv,7,0.121,1.258,0.424,,B
124,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,8,B8,8,0.121,1.299,0.432,,8,0.002,0.515,0.255,gone,B
125,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,9,B9,9,0.261,1.873,0.637,,9,0.334,2.108,0.735,,B
126,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,10,B10,10,0.378,2.24,0.757,,10,0.628,2.9,0.997,,B
127,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,11,B11,11,0.247,1.802,0.629,,11,0.519,2.637,0.897,,B
128,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,12,B12,12,0.655,2.955,0.97,,12,0.79,3.257,1.116,,B
129,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,13,B13,13,0.365,2.216,0.779,angle,13,0.471,2.513,0.884,angle,B
130,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,14,B14,14,0.607,2.89,1.025,angle,14,0.647,2.956,1.028,angle,B
131,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,15,B15,15,0.931,3.577,1.302,angle,15,0.856,3.383,1.158,,B
132,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,16,B16,16,0.55,2.725,0.977,,16,0.762,3.246,1.163,,B
133,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,17,B17,17,0.862,3.378,1.141,,17,0.896,3.462,1.188,,B
134,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,18,B18,18,0.171,1.508,0.519,,18,6.76E-04,0.612,0.306,gone,B
135,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,19,B19,19,0.259,1.846,0.643,,19,0.416,2.34,0.785,,B
136,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,20,B20,20,0.197,1.619,0.562,,20,0.004,1.107,0.553,gone,B
137,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,21,B21,21,0.002,0.514,0.256,nv,21,0.125,1.289,0.424,,B
138,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,22,B22,22,0.98,3.638,1.27,,22,1.206,4.023,1.381,,B
139,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,23,B23,23,0.841,3.392,1.234,angle,23,0.929,3.544,1.296,angle,B
140,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,24,B24,24,1.477,4.402,1.496,,24,1.128,3.895,1.331,,B
141,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,25,B25,25,0.698,3.061,1.037,,25,0.724,3.113,1.065,,B
142,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,26,B26,26,0.39,2.272,0.757,,26,0.339,2.124,0.732,,B
143,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,27,B27,27,0.394,2.277,0.785,,27,0.434,2.404,0.806,,B
144,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,28,B28,28,0.131,1.301,0.444,,28,0.244,1.806,0.598,,B
145,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,29,B29,29,0.472,2.517,0.843,,29,0.504,2.604,0.927,,B
146,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,30,B30,30,0.633,2.927,1.03,,30,0.847,3.383,1.182,angle,B
147,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,31,B31,31,0.139,1.344,0.479,,31,0.533,2.686,0.943,,B
148,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,32,B32,32,0.183,1.573,0.548,,32,0.317,2.053,0.684,,B
149,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,33,B33,33,0.003,0.433,0.214,nv,33,0.268,1.902,0.692,angle,B
150,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,34,B34,34,0.003,0.583,0.29,nv,34,0.239,1.821,0.666,angle,B
151,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,35,B35,35,0.004,0.873,0.435,nv,35,0.169,1.49,0.506,,B
152,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,36,B36,36,0.007,1.44,0.718,nv,36,0.301,1.996,0.678,,B
153,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,37,B37,37,0.016,2.464,1.232,nv,37,0.317,2.073,0.7,,B
154,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,38,B38,38,0.025,2.359,1.178,nv,38,0.145,1.389,0.483,,B
155,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,39,B39,39,0.011,2.325,1.163,nv,39,0.133,1.33,0.461,,B
156,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,40,B40,40,0.024,1.98,0.985,nv,40,0.357,2.19,0.791,,B
157,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,41,B41,41,0.003,1.38,0.69,nv,41,0.447,2.426,0.795,,B
158,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,42,B42,42,0.715,3.134,1.136,,42,0.742,3.155,1.097,,B
159,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,43,B43,43,0.094,1.104,0.386,,43,0.014,1.515,0.756,gone,B
160,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,44,B44,44,0.307,2.013,0.728,angle,44,0.007,0.889,0.444,,B
161,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,45,B45,45,0.004,1.081,0.54,nv,45,0.073,0.985,0.331,,B
162,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,46,B46,NA,NA,NA,NA,nv,46,0.069,0.975,0.339,recruit,B
163,B3_,B,past,17jan69_6jan72,17-Jan-69,6-Jan-72,2.97,SC,47,B47,NA,NA,NA,NA,nv,47,0.092,1.103,0.391,recruit,B
